,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,FinishedBsmtAreaSF,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,GoodFloorAreaSFabovegrade,TotalFinishedAreaSF,BsmtFullBath,BsmtHalfBath,TotalBathBasement,FullBath,HalfBath,TotalBathroomsAboveGrade,TotalBathrooms,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotalRooms,TotalRooms_bathroomas1,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,TotalPorchArea,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,agebybuilt,agebyremodel,TotalGrBsmtSF,OA1,OA2
10,11,20,RL,70.0,11200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,906,134,1040,GasA,Ex,Y,SBrkr,1040,0,0,1040,1040,1946,1,0,1.0,1,0,1.0,2.0,3,1,TA,6.0,6,5,Typ,0,NA,Detchd,1965.0,Unf,1,384,TA,TA,Y,0,0,0,0,0,0,0,NA,NA,NA,0,2,2008,WD,Normal,129500,43,43,2080,2080,2464
11,12,60,RL,85.0,11924,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,WdShing,Stone,286,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,998,177,1175,GasA,Ex,Y,SBrkr,1182,1142,0,2324,2324,3322,1,0,1.0,3,0,3.0,4.0,4,1,Ex,9.0,9,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3,736,TA,TA,Y,147,21,0,0,0,21,0,NA,NA,NA,0,7,2006,New,Partial,345000,1,0,3499,3785,4521
12,13,20,RL,70.04995836802665,12968,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,737,175,912,GasA,TA,Y,SBrkr,912,0,0,912,912,1649,1,0,1.0,1,0,1.0,2.0,2,1,TA,5.0,5,4,Typ,0,NA,Detchd,1962.0,Unf,1,352,TA,TA,Y,140,0,0,0,176,176,0,NA,NA,NA,0,9,2008,WD,Normal,144000,46,46,1824,1824,2176
13,14,20,RL,91.0,10652,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,0,1494,1494,GasA,Ex,Y,SBrkr,1494,0,0,1494,1494,1494,0,0,0.0,2,0,2.0,2.0,3,1,Gd,6.0,6,7,Typ,1,Gd,Attchd,2006.0,RFn,3,840,TA,TA,Y,160,33,0,0,0,33,0,NA,NA,NA,0,8,2007,New,Partial,279500,1,0,2988,3294,4134
14,15,20,RL,70.04995836802665,10920,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Names,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,733,520,1253,GasA,TA,Y,SBrkr,1253,0,0,1253,1253,1986,1,0,1.0,1,1,1.5,2.5,2,1,TA,5.5,6,5,Typ,1,Fa,Attchd,1960.0,RFn,1,352,TA,TA,Y,0,213,176,0,0,389,0,NA,GdWo,NA,0,5,2008,WD,Normal,157000,48,48,2506,2718,3070
15,16,45,RM,51.0,6120,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,0,832,832,GasA,Ex,Y,FuseA,854,0,0,854,854,854,0,0,0.0,1,0,1.0,1.0,2,1,TA,4.0,4,5,Typ,0,NA,Detchd,1991.0,Unf,2,576,TA,TA,Y,48,112,0,0,0,112,0,NA,GdPrv,NA,0,7,2007,WD,Normal,132000,78,6,1686,1686,2262
16,17,20,RL,70.04995836802665,11241,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Names,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,578,426,1004,GasA,Ex,Y,SBrkr,1004,0,0,1004,1004,1582,1,0,1.0,1,0,1.0,2.0,2,1,TA,5.0,5,5,Typ,1,TA,Attchd,1970.0,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,0,NA,NA,Shed,700,3,2010,WD,Normal,149000,40,40,2008,2188,2668
17,18,90,RL,72.0,10791,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplx,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,0,0,GasA,TA,Y,SBrkr,1296,0,0,1296,1296,1296,0,0,0.0,2,0,2.0,2.0,2,2,TA,6.0,6,6,Typ,0,NA,CarPort,1967.0,Unf,2,516,TA,TA,Y,0,0,0,0,0,0,0,NA,NA,Shed,500,10,2006,WD,Normal,90000,39,39,1296,1296,1812
18,19,20,RL,66.0,13695,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,646,468,1114,GasA,Ex,Y,SBrkr,1114,0,0,1114,1114,1760,1,0,1.0,1,1,1.5,2.5,3,1,Gd,6.5,7,6,Typ,0,NA,Detchd,2004.0,Unf,2,576,TA,TA,Y,0,102,0,0,0,102,0,NA,NA,NA,0,6,2008,WD,Normal,159000,4,4,2228,2228,2804
19,20,20,RL,70.0,7560,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,504,525,1029,GasA,TA,Y,SBrkr,1339,0,0,1339,1339,1843,0,0,0.0,1,0,1.0,1.0,3,1,TA,5.0,5,6,Min1,0,NA,Attchd,1958.0,Unf,1,294,TA,TA,Y,0,0,0,0,0,0,0,NA,MnPrv,NA,0,5,2009,COD,Abnorml,139000,51,44,2368,2368,2662
20,21,60,RL,101.0,14215,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,0,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,0,2376,2376,2376,0,0,0.0,3,1,3.5,3.5,4,1,Gd,8.5,9,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3,853,TA,TA,Y,240,154,0,0,0,154,0,NA,NA,NA,0,11,2006,New,Partial,325300,1,0,3534,3914,4767
21,22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,0,637,637,GasA,Ex,Y,FuseF,1108,0,0,1108,1108,1108,0,0,0.0,1,0,1.0,1.0,3,1,Gd,5.0,5,6,Typ,1,Gd,Attchd,1930.0,Unf,1,280,TA,TA,N,0,0,205,0,0,205,0,NA,GdPrv,NA,0,6,2007,WD,Normal,139400,77,57,1745,1745,2025
22,23,20,RL,75.0,9742,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,0,1777,1777,GasA,Ex,Y,SBrkr,1795,0,0,1795,1795,1795,0,0,0.0,2,0,2.0,2.0,3,1,Gd,6.0,6,7,Typ,1,Gd,Attchd,2002.0,RFn,2,534,TA,TA,Y,171,159,0,0,0,159,0,NA,NA,NA,0,9,2008,WD,Normal,230000,6,6,3572,3853,4387
23,24,120,RM,44.0,4224,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CemntBd,None,0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,840,200,1040,GasA,TA,Y,SBrkr,1060,0,0,1060,1060,1900,1,0,1.0,1,0,1.0,2.0,3,1,TA,6.0,6,6,Typ,1,TA,Attchd,1976.0,Unf,2,572,TA,TA,Y,100,110,0,0,0,110,0,NA,NA,NA,0,6,2007,WD,Normal,129900,31,31,2100,2100,2672
24,25,20,RL,70.04995836802665,8246,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,856,204,1060,GasA,Ex,Y,SBrkr,1060,0,0,1060,1060,1916,1,0,1.0,1,0,1.0,2.0,3,1,Gd,6.0,6,6,Typ,1,TA,Attchd,1968.0,Unf,1,270,TA,TA,Y,406,90,0,0,0,90,0,NA,MnPrv,NA,0,5,2010,WD,Normal,154000,42,9,2120,2120,2390
25,26,20,RL,110.0,14230,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,0,1566,1566,GasA,Ex,Y,SBrkr,1600,0,0,1600,1600,1600,0,0,0.0,2,0,2.0,2.0,3,1,Gd,6.0,6,7,Typ,1,Gd,Attchd,2007.0,RFn,3,890,TA,TA,Y,0,56,0,0,0,56,0,NA,NA,NA,0,7,2009,WD,Normal,256300,2,2,3166,3806,4696
26,27,20,RL,60.0,7200,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Names,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,720,180,900,GasA,TA,Y,SBrkr,900,0,0,900,900,1620,0,1,0.5,1,0,1.0,1.5,3,1,Gd,5.5,6,5,Typ,0,NA,Detchd,2005.0,Unf,2,576,TA,TA,Y,222,32,0,0,0,32,0,NA,NA,NA,0,5,2010,WD,Normal,134800,59,10,1800,1800,2376
27,28,20,RL,98.0,11478,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,1218,486,1704,GasA,Ex,Y,SBrkr,1704,0,0,1704,1704,2922,1,0,1.0,2,0,2.0,3.0,3,1,Gd,7.0,7,7,Typ,1,Gd,Attchd,2008.0,RFn,3,772,TA,TA,Y,0,50,0,0,0,50,0,NA,NA,NA,0,5,2010,WD,Normal,306000,3,2,3408,3608,4380
28,29,20,RL,47.0,16321,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Names,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,1277,207,1484,GasA,TA,Y,SBrkr,1600,0,0,1600,1600,2877,1,0,1.0,1,0,1.0,2.0,2,1,TA,5.0,5,6,Typ,2,Gd,Attchd,1957.0,RFn,1,319,TA,TA,Y,288,258,0,0,0,258,0,NA,NA,NA,0,12,2006,WD,Normal,207500,49,9,3084,3084,3403
29,30,30,RM,60.0,6324,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,0,520,520,GasA,Fa,N,SBrkr,520,0,0,520,520,520,0,0,0.0,1,0,1.0,1.0,1,1,Fa,3.0,3,4,Typ,0,NA,Detchd,1920.0,Unf,1,240,Fa,TA,Y,49,0,87,0,0,87,0,NA,NA,NA,0,5,2008,WD,Normal,68500,81,58,1040,1040,1280
30,31,70,C,50.0,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,0,649,649,GasA,TA,N,SBrkr,649,668,0,1317,1317,1317,0,0,0.0,1,0,1.0,1.0,3,1,TA,5.0,5,6,Typ,0,NA,Detchd,1920.0,Unf,1,250,TA,Fa,N,0,54,172,0,0,226,0,NA,MnPrv,NA,0,7,2008,WD,Normal,40000,88,58,1966,1966,2216
31,32,20,RL,70.04995836802665,8544,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,0,1228,1228,GasA,Gd,Y,SBrkr,1228,0,0,1228,1228,1228,0,0,0.0,1,1,1.5,1.5,3,1,Gd,5.5,6,6,Typ,0,NA,Attchd,1966.0,Unf,1,271,TA,TA,Y,0,65,0,0,0,65,0,NA,MnPrv,NA,0,6,2008,WD,Normal,149350,42,2,2456,2456,2727
32,33,20,RL,85.0,11049,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,0,1234,1234,GasA,Ex,Y,SBrkr,1234,0,0,1234,1234,1234,0,0,0.0,2,0,2.0,2.0,3,1,Gd,6.0,6,7,Typ,0,NA,Attchd,2007.0,RFn,2,484,TA,TA,Y,0,30,0,0,0,30,0,NA,NA,NA,0,1,2008,WD,Normal,179900,1,1,2468,2468,2952
33,34,20,RL,70.0,10552,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Names,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,0,1018,380,1398,GasA,Gd,Y,SBrkr,1700,0,0,1700,1700,2718,0,1,0.5,1,1,1.5,2.0,4,1,Gd,7.0,8,6,Typ,1,Gd,Attchd,1959.0,RFn,2,447,TA,TA,Y,0,38,0,0,0,38,0,NA,NA,NA,0,4,2010,WD,Normal,165500,51,51,3098,3098,3545
34,35,120,RL,60.0,7313,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,1153,408,1561,GasA,Ex,Y,SBrkr,1561,0,0,1561,1561,2714,1,0,1.0,2,0,2.0,3.0,2,1,Ex,6.0,6,6,Typ,1,Gd,Attchd,2005.0,Fin,2,556,TA,TA,Y,203,47,0,0,0,47,0,NA,NA,NA,0,8,2007,WD,Normal,277500,2,2,3122,3368,3924
35,36,60,RL,108.0,13418,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,0,1117,1117,GasA,Ex,Y,SBrkr,1132,1320,0,2452,2452,2452,0,0,0.0,3,1,3.5,3.5,4,1,Gd,8.5,9,9,Typ,1,Gd,BuiltIn,2004.0,Fin,3,691,TA,TA,Y,113,32,0,0,0,32,0,NA,NA,NA,0,9,2006,WD,Normal,309000,2,1,3569,3701,4392
36,37,20,RL,112.0,10859,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,0,1097,1097,GasA,Ex,Y,SBrkr,1097,0,0,1097,1097,1097,0,0,0.0,1,1,1.5,1.5,3,1,TA,5.5,6,6,Typ,0,NA,Attchd,1995.0,Unf,2,672,TA,TA,Y,392,64,0,0,0,64,0,NA,NA,NA,0,6,2009,WD,Normal,145000,15,14,2194,2194,2866
37,38,20,RL,74.0,8532,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,0,1213,84,1297,GasA,Gd,Y,SBrkr,1297,0,0,1297,1297,2510,0,1,0.5,1,0,1.0,1.5,3,1,TA,5.5,6,5,Typ,1,TA,Attchd,1954.0,Fin,2,498,TA,TA,Y,0,0,0,0,0,0,0,NA,NA,NA,0,10,2009,WD,Normal,153000,55,19,2594,3244,3742
38,39,20,RL,68.0,7922,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,731,326,1057,GasA,TA,Y,SBrkr,1057,0,0,1057,1057,1788,1,0,1.0,1,0,1.0,2.0,3,1,Gd,6.0,6,5,Typ,0,NA,Detchd,1953.0,Unf,1,246,TA,TA,Y,0,52,0,0,0,52,0,NA,NA,NA,0,1,2010,WD,Abnorml,109000,57,3,2114,2114,2360
39,40,90,RL,65.0,6040,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplx,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0,TA,TA,PConc,NA,NA,NA,NA,0,NA,0,0,0,0,GasA,TA,N,FuseP,1152,0,0,1152,1152,1152,0,0,0.0,2,0,2.0,2.0,2,2,Fa,6.0,6,6,Typ,0,NA,NA,1955.0,NA,0,0,NA,NA,N,0,0,0,0,0,0,0,NA,NA,NA,0,6,2008,WD,AdjLand,82000,53,53,1152,1152,1152
40,41,20,RL,84.0,8658,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0,643,445,1088,GasA,Ex,Y,SBrkr,1324,0,0,1324,1324,1967,0,0,0.0,2,0,2.0,2.0,3,1,TA,6.0,6,6,Typ,1,TA,Attchd,1965.0,RFn,2,440,TA,TA,Y,0,138,0,0,0,138,0,NA,GdWo,NA,0,12,2006,WD,Abnorml,160000,41,41,2412,2513,2953
